Tick,Power (EU/t),Hull Heat (HU),Hull Heat (%),Total Power (EU),Exploded
1,20.0,0.0,0.0,20.0,False
21,20.0,0.0,0.0,420.0,False
41,20.0,0.0,0.0,820.0,False
61,20.0,0.0,0.0,1220.0,False
81,20.0,0.0,0.0,1620.0,False
101,20.0,0.0,0.0,2020.0,False
121,20.0,0.0,0.0,2420.0,False
141,20.0,0.0,0.0,2820.0,False
161,20.0,0.0,0.0,3220.0,False
181,20.0,0.0,0.0,3620.0,False
201,20.0,0.0,0.0,4020.0,False
221,20.0,0.0,0.0,4420.0,False
241,20.0,0.0,0.0,4820.0,False
261,20.0,0.0,0.0,5220.0,False
281,20.0,0.0,0.0,5620.0,False
301,20.0,0.0,0.0,6020.0,False
321,20.0,0.0,0.0,6420.0,False
341,20.0,0.0,0.0,6820.0,False
361,20.0,0.0,0.0,7220.0,False
381,20.0,0.0,0.0,7620.0,False
401,20.0,0.0,0.0,8020.0,False
421,20.0,0.0,0.0,8420.0,False
441,20.0,0.0,0.0,8820.0,False
461,20.0,0.0,0.0,9220.0,False
481,20.0,0.0,0.0,9620.0,False
501,20.0,0.0,0.0,10020.0,False
521,20.0,0.0,0.0,10420.0,False
541,20.0,0.0,0.0,10820.0,False
561,20.0,0.0,0.0,11220.0,False
581,20.0,0.0,0.0,11620.0,False
601,20.0,0.0,0.0,12020.0,False
621,20.0,0.0,0.0,12420.0,False
641,20.0,0.0,0.0,12820.0,False
661,20.0,0.0,0.0,13220.0,False
681,20.0,0.0,0.0,13620.0,False
701,20.0,0.0,0.0,14020.0,False
721,20.0,0.0,0.0,14420.0,False
741,20.0,0.0,0.0,14820.0,False
761,20.0,0.0,0.0,15220.0,False
781,20.0,0.0,0.0,15620.0,False
801,20.0,0.0,0.0,16020.0,False
821,20.0,0.0,0.0,16420.0,False
841,20.0,0.0,0.0,16820.0,False
861,20.0,0.0,0.0,17220.0,False
881,20.0,0.0,0.0,17620.0,False
901,20.0,0.0,0.0,18020.0,False
921,20.0,0.0,0.0,18420.0,False
941,20.0,0.0,0.0,18820.0,False
961,20.0,0.0,0.0,19220.0,False
981,20.0,0.0,0.0,19620.0,False
1001,20.0,0.0,0.0,20020.0,False
1021,20.0,0.0,0.0,20420.0,False
1041,20.0,0.0,0.0,20820.0,False
1061,20.0,0.0,0.0,21220.0,False
1081,20.0,0.0,0.0,21620.0,False
1101,20.0,0.0,0.0,22020.0,False
1121,20.0,0.0,0.0,22420.0,False
1141,20.0,0.0,0.0,22820.0,False
1161,20.0,0.0,0.0,23220.0,False
1181,20.0,0.0,0.0,23620.0,False
1201,20.0,0.0,0.0,24020.0,False
1221,20.0,0.0,0.0,24420.0,False
1241,20.0,0.0,0.0,24820.0,False
1261,20.0,0.0,0.0,25220.0,False
1281,20.0,0.0,0.0,25620.0,False
1301,20.0,0.0,0.0,26020.0,False
1321,20.0,0.0,0.0,26420.0,False
1341,20.0,0.0,0.0,26820.0,False
1361,20.0,0.0,0.0,27220.0,False
1381,20.0,0.0,0.0,27620.0,False
1401,20.0,0.0,0.0,28020.0,False
1421,20.0,0.0,0.0,28420.0,False
1441,20.0,0.0,0.0,28820.0,False
1461,20.0,0.0,0.0,29220.0,False
1481,20.0,0.0,0.0,29620.0,False
1501,20.0,0.0,0.0,30020.0,False
1521,20.0,0.0,0.0,30420.0,False
1541,20.0,0.0,0.0,30820.0,False
1561,20.0,0.0,0.0,31220.0,False
1581,20.0,0.0,0.0,31620.0,False
1601,20.0,0.0,0.0,32020.0,False
1621,20.0,0.0,0.0,32420.0,False
1641,20.0,0.0,0.0,32820.0,False
1661,20.0,0.0,0.0,33220.0,False
1681,20.0,0.0,0.0,33620.0,False
1701,20.0,0.0,0.0,34020.0,False
1721,20.0,0.0,0.0,34420.0,False
1741,20.0,0.0,0.0,34820.0,False
1761,20.0,0.0,0.0,35220.0,False
1781,20.0,0.0,0.0,35620.0,False
1801,20.0,0.0,0.0,36020.0,False
1821,20.0,0.0,0.0,36420.0,False
1841,20.0,0.0,0.0,36820.0,False
1861,20.0,0.0,0.0,37220.0,False
1881,20.0,0.0,0.0,37620.0,False
1901,20.0,0.0,0.0,38020.0,False
1921,20.0,0.0,0.0,38420.0,False
1941,20.0,0.0,0.0,38820.0,False
1961,20.0,0.0,0.0,39220.0,False
1981,20.0,0.0,0.0,39620.0,False
2001,20.0,0.0,0.0,40020.0,False
2021,20.0,0.0,0.0,40420.0,False
2041,20.0,0.0,0.0,40820.0,False
2061,20.0,0.0,0.0,41220.0,False
2081,20.0,0.0,0.0,41620.0,False
2101,20.0,0.0,0.0,42020.0,False
2121,20.0,0.0,0.0,42420.0,False
2141,20.0,0.0,0.0,42820.0,False
2161,20.0,0.0,0.0,43220.0,False
2181,20.0,0.0,0.0,43620.0,False
2201,20.0,0.0,0.0,44020.0,False
2221,20.0,0.0,0.0,44420.0,False
2241,20.0,0.0,0.0,44820.0,False
2261,20.0,0.0,0.0,45220.0,False
2281,20.0,0.0,0.0,45620.0,False
2301,20.0,0.0,0.0,46020.0,False
2321,20.0,0.0,0.0,46420.0,False
2341,20.0,0.0,0.0,46820.0,False
2361,20.0,0.0,0.0,47220.0,False
2381,20.0,0.0,0.0,47620.0,False
2401,20.0,0.0,0.0,48020.0,False
2421,20.0,0.0,0.0,48420.0,False
2441,20.0,0.0,0.0,48820.0,False
2461,20.0,0.0,0.0,49220.0,False
2481,20.0,0.0,0.0,49620.0,False
2501,20.0,0.0,0.0,50020.0,False
2521,20.0,0.0,0.0,50420.0,False
2541,20.0,0.0,0.0,50820.0,False
2561,20.0,0.0,0.0,51220.0,False
2581,20.0,0.0,0.0,51620.0,False
2601,20.0,0.0,0.0,52020.0,False
2621,20.0,0.0,0.0,52420.0,False
2641,20.0,0.0,0.0,52820.0,False
2661,20.0,0.0,0.0,53220.0,False
2681,20.0,0.0,0.0,53620.0,False
2701,20.0,0.0,0.0,54020.0,False
2721,20.0,0.0,0.0,54420.0,False
2741,20.0,0.0,0.0,54820.0,False
2761,20.0,0.0,0.0,55220.0,False
2781,20.0,0.0,0.0,55620.0,False
2801,20.0,0.0,0.0,56020.0,False
2821,20.0,0.0,0.0,56420.0,False
2841,20.0,0.0,0.0,56820.0,False
2861,20.0,0.0,0.0,57220.0,False
2881,20.0,0.0,0.0,57620.0,False
2901,20.0,0.0,0.0,58020.0,False
2921,20.0,0.0,0.0,58420.0,False
2941,20.0,0.0,0.0,58820.0,False
2961,20.0,0.0,0.0,59220.0,False
2981,20.0,0.0,0.0,59620.0,False
3001,20.0,0.0,0.0,60020.0,False
3021,20.0,0.0,0.0,60420.0,False
3041,20.0,0.0,0.0,60820.0,False
3061,20.0,0.0,0.0,61220.0,False
3081,20.0,0.0,0.0,61620.0,False
3101,20.0,0.0,0.0,62020.0,False
3121,20.0,0.0,0.0,62420.0,False
3141,20.0,0.0,0.0,62820.0,False
3161,20.0,0.0,0.0,63220.0,False
3181,20.0,0.0,0.0,63620.0,False
3201,20.0,0.0,0.0,64020.0,False
3221,20.0,0.0,0.0,64420.0,False
3241,20.0,0.0,0.0,64820.0,False
3261,20.0,0.0,0.0,65220.0,False
3281,20.0,0.0,0.0,65620.0,False
3301,20.0,0.0,0.0,66020.0,False
3321,20.0,0.0,0.0,66420.0,False
3341,20.0,0.0,0.0,66820.0,False
3361,20.0,0.0,0.0,67220.0,False
3381,20.0,0.0,0.0,67620.0,False
3401,20.0,0.0,0.0,68020.0,False
3421,20.0,0.0,0.0,68420.0,False
3441,20.0,0.0,0.0,68820.0,False
3461,20.0,0.0,0.0,69220.0,False
3481,20.0,0.0,0.0,69620.0,False
3501,20.0,0.0,0.0,70020.0,False
3521,20.0,0.0,0.0,70420.0,False
3541,20.0,0.0,0.0,70820.0,False
3561,20.0,0.0,0.0,71220.0,False
3581,20.0,0.0,0.0,71620.0,False
3601,20.0,0.0,0.0,72020.0,False
3621,20.0,0.0,0.0,72420.0,False
3641,20.0,0.0,0.0,72820.0,False
3661,20.0,0.0,0.0,73220.0,False
3681,20.0,0.0,0.0,73620.0,False
3701,20.0,0.0,0.0,74020.0,False
3721,20.0,0.0,0.0,74420.0,False
3741,20.0,0.0,0.0,74820.0,False
3761,20.0,0.0,0.0,75220.0,False
3781,20.0,0.0,0.0,75620.0,False
3801,20.0,0.0,0.0,76020.0,False
3821,20.0,0.0,0.0,76420.0,False
3841,20.0,0.0,0.0,76820.0,False
3861,20.0,0.0,0.0,77220.0,False
3881,20.0,0.0,0.0,77620.0,False
3901,20.0,0.0,0.0,78020.0,False
3921,20.0,0.0,0.0,78420.0,False
3941,20.0,0.0,0.0,78820.0,False
3961,20.0,0.0,0.0,79220.0,False
3981,20.0,0.0,0.0,79620.0,False
4001,20.0,0.0,0.0,80020.0,False
4021,20.0,0.0,0.0,80420.0,False
4041,20.0,0.0,0.0,80820.0,False
4061,20.0,0.0,0.0,81220.0,False
4081,20.0,0.0,0.0,81620.0,False
4101,20.0,0.0,0.0,82020.0,False
4121,20.0,0.0,0.0,82420.0,False
4141,20.0,0.0,0.0,82820.0,False
4161,20.0,0.0,0.0,83220.0,False
4181,20.0,0.0,0.0,83620.0,False
4201,20.0,0.0,0.0,84020.0,False
4221,20.0,0.0,0.0,84420.0,False
4241,20.0,0.0,0.0,84820.0,False
4261,20.0,0.0,0.0,85220.0,False
4281,20.0,0.0,0.0,85620.0,False
4301,20.0,0.0,0.0,86020.0,False
4321,20.0,0.0,0.0,86420.0,False
4341,20.0,0.0,0.0,86820.0,False
4361,20.0,0.0,0.0,87220.0,False
4381,20.0,0.0,0.0,87620.0,False
4401,20.0,0.0,0.0,88020.0,False
4421,20.0,0.0,0.0,88420.0,False
4441,20.0,0.0,0.0,88820.0,False
4461,20.0,0.0,0.0,89220.0,False
4481,20.0,0.0,0.0,89620.0,False
4501,20.0,0.0,0.0,90020.0,False
4521,20.0,0.0,0.0,90420.0,False
4541,20.0,0.0,0.0,90820.0,False
4561,20.0,0.0,0.0,91220.0,False
4581,20.0,0.0,0.0,91620.0,False
4601,20.0,0.0,0.0,92020.0,False
4621,20.0,0.0,0.0,92420.0,False
4641,20.0,0.0,0.0,92820.0,False
4661,20.0,0.0,0.0,93220.0,False
4681,20.0,0.0,0.0,93620.0,False
4701,20.0,0.0,0.0,94020.0,False
4721,20.0,0.0,0.0,94420.0,False
4741,20.0,0.0,0.0,94820.0,False
4761,20.0,0.0,0.0,95220.0,False
4781,20.0,0.0,0.0,95620.0,False
4801,20.0,0.0,0.0,96020.0,False
4821,20.0,0.0,0.0,96420.0,False
4841,20.0,0.0,0.0,96820.0,False
4861,20.0,0.0,0.0,97220.0,False
4881,20.0,0.0,0.0,97620.0,False
4901,20.0,0.0,0.0,98020.0,False
4921,20.0,0.0,0.0,98420.0,False
4941,20.0,0.0,0.0,98820.0,False
4961,20.0,0.0,0.0,99220.0,False
4981,20.0,0.0,0.0,99620.0,False
5001,20.0,0.0,0.0,100020.0,False
5021,20.0,0.0,0.0,100420.0,False
5041,20.0,0.0,0.0,100820.0,False
5061,20.0,0.0,0.0,101220.0,False
5081,20.0,0.0,0.0,101620.0,False
5101,20.0,0.0,0.0,102020.0,False
5121,20.0,0.0,0.0,102420.0,False
5141,20.0,0.0,0.0,102820.0,False
5161,20.0,0.0,0.0,103220.0,False
5181,20.0,0.0,0.0,103620.0,False
5201,20.0,0.0,0.0,104020.0,False
5221,20.0,0.0,0.0,104420.0,False
5241,20.0,0.0,0.0,104820.0,False
5261,20.0,0.0,0.0,105220.0,False
5281,20.0,0.0,0.0,105620.0,False
5301,20.0,0.0,0.0,106020.0,False
5321,20.0,0.0,0.0,106420.0,False
5341,20.0,0.0,0.0,106820.0,False
5361,20.0,0.0,0.0,107220.0,False
5381,20.0,0.0,0.0,107620.0,False
5401,20.0,0.0,0.0,108020.0,False
5421,20.0,0.0,0.0,108420.0,False
5441,20.0,0.0,0.0,108820.0,False
5461,20.0,0.0,0.0,109220.0,False
5481,20.0,0.0,0.0,109620.0,False
5501,20.0,0.0,0.0,110020.0,False
5521,20.0,0.0,0.0,110420.0,False
5541,20.0,0.0,0.0,110820.0,False
5561,20.0,0.0,0.0,111220.0,False
5581,20.0,0.0,0.0,111620.0,False
5601,20.0,0.0,0.0,112020.0,False
5621,20.0,0.0,0.0,112420.0,False
