2026-03-30 16:00:01,322 [INFO] 创建 4 个并行环境
2026-03-30 16:00:01,322 [INFO] 创建评估环境
2026-03-30 16:00:01,322 [INFO] 创建PPO模型...
2026-03-30 16:00:01,947 [INFO] 开始训练...
2026-03-30 16:00:01,947 [INFO] 提示: 可以使用 TensorBoard 查看训练过程: tensorboard --logdir rl_logs_v2
2026-03-30 16:00:02,560 [INFO] Episode 完成: 平均功率=350.00 EU/t, 最大堆温=6688.33, 爆炸=否
2026-03-30 16:00:02,561 [INFO] Episode 完成: 平均功率=405.00 EU/t, 最大堆温=10020.33, 爆炸=是
2026-03-30 16:00:02,561 [INFO] Episode 完成: 平均功率=360.00 EU/t, 最大堆温=5068.00, 爆炸=否
2026-03-30 16:00:02,561 [INFO] Episode 完成: 平均功率=235.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:02,888 [INFO] Episode 完成: 平均功率=520.00 EU/t, 最大堆温=10029.33, 爆炸=是
2026-03-30 16:00:02,888 [INFO] Episode 完成: 平均功率=340.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:02,888 [INFO] Episode 完成: 平均功率=280.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:02,888 [INFO] Episode 完成: 平均功率=215.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:03,256 [INFO] Episode 完成: 平均功率=130.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:03,256 [INFO] Episode 完成: 平均功率=360.00 EU/t, 最大堆温=720.00, 爆炸=否
2026-03-30 16:00:03,256 [INFO] Episode 完成: 平均功率=235.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:03,256 [INFO] Episode 完成: 平均功率=115.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:03,597 [INFO] Episode 完成: 平均功率=270.00 EU/t, 最大堆温=0.00, 爆炸=否
